Region,Station,Date,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Latitude,Longitude
North,Admiralty,26/2/2020,0,0,0,0,27.9,32.4,25.1,22.3,49,1.4439,103.7854
North,Admiralty,27/2/2020,0,0,0,0,28.1,32.8,25.3,21.6,47.2,1.4439,103.7854
North,Admiralty,28/2/2020,0,0,0,0,28,32.3,25.4,22,47.5,1.4439,103.7854
North,Admiralty,29/2/2020,0,0,0,0,27.8,32.5,24.9,22.3,45.7,1.4439,103.7854
North,Admiralty,1/3/2020,0.2,0.2,0.2,0.2,27.5,30.4,25.7,22.7,52.2,1.4439,103.7854
North,Admiralty,2/3/2020,0,0,0,0,27.4,31.6,24.6,22,49.7,1.4439,103.7854
North,Admiralty,3/3/2020,0,0,0,0,28,32.1,25.4,21.6,47.5,1.4439,103.7854
North,Admiralty,4/3/2020,8.6,6.2,6.4,7.2,27.9,32.7,24.4,14.4,41.5,1.4439,103.7854
North,Admiralty,5/3/2020,6,4.4,5.6,5.8,28.6,33.1,25.2,9.8,26.3,1.4439,103.7854
North,Admiralty,6/3/2020,0,0,0,0,28.6,32.3,25.8,11.6,35.6,1.4439,103.7854
North,Admiralty,7/3/2020,0,0,0,0,29.7,33.5,27.7,9.1,32.8,1.4439,103.7854
North,Admiralty,8/3/2020,0,0,0,0,29.5,33.2,27.3,9.2,28.2,1.4439,103.7854
North,Admiralty,9/3/2020,6.8,3,4.4,5.2,26.6,29.7,24.8,9.8,25.9,1.4439,103.7854
North,Admiralty,10/3/2020,7.2,3.4,4.6,6.8,27.6,32.6,23.4,9.6,35.2,1.4439,103.7854
North,Admiralty,11/3/2020,0.6,0.4,0.4,0.4,27.4,31.5,25.5,12.1,33.9,1.4439,103.7854
North,Admiralty,12/3/2020,6.2,4.6,4.8,5.2,26.6,33.7,24,14.7,55.7,1.4439,103.7854
North,Admiralty,13/3/2020,0,0,0,0,29.3,36,25.8,16.9,41.4,1.4439,103.7854
North,Admiralty,14/3/2020,0,0,0,0,28.9,33.5,26.5,18.7,41.8,1.4439,103.7854
North,Admiralty,15/3/2020,0,0,0,0,28.9,33.1,26.7,21.6,46.1,1.4439,103.7854
North,Admiralty,16/3/2020,0,0,0,0,28.5,32.7,26.6,22.3,61.2,1.4439,103.7854
North,Admiralty,17/3/2020,0,0,0,0,28.5,32.4,25.9,20.9,50.4,1.4439,103.7854
North,Admiralty,18/3/2020,5.4,3.4,3.6,5.4,27.9,32,25.5,18.7,44.6,1.4439,103.7854
North,Admiralty,19/3/2020,0,0,0,0,28.3,33.9,25.7,16.2,41,1.4439,103.7854
North,Admiralty,20/3/2020,0,0,0,0,28.1,32.8,26,17.6,41,1.4439,103.7854
North,Admiralty,21/3/2020,45.2,26.8,39.2,45,27.5,32,24.1,16.9,39.2,1.4439,103.7854
